Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
cloud-nine-grande-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Ultra Premium",TRUE,Size,Queen (152cm),Length,Extra Length (200cm),Configuration,Bed Set,cloud-nine-grande-bed-set-9,50000,,100,continue,manual,20159,,TRUE,TRUE,,,,,FALSE,Grande Bed Set,Grande Bed Set by Cloud Nine. Official Ultra Premium collection.,active
cloud-nine-grande-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Ultra Premium",TRUE,Size,King (183cm),Length,Extra Length (200cm),Configuration,Bed Set,cloud-nine-grande-bed-set-10,50000,,100,continue,manual,24509,,TRUE,TRUE,,,,,FALSE,Grande Bed Set,Grande Bed Set by Cloud Nine. Official Ultra Premium collection.,active
cloud-nine-chiroflex-bed-set,Chiroflex Bed Set,"<h3>Chiroflex Bed Set</h3>
<p><strong>Manufacturer:</strong> Cloud Nine<br/>
<strong>Range:</strong> Ultra Premium</p>
<h4>Official Product Links & Guidelines:</h4>
<ul>
  <li><a href=""https://www.bedsonline.co.za/product/cloud-nine-chiroflex-queen/"" target=""_blank"" rel=""noopener noreferrer"">https://www.bedsonline.co.za/product/cloud-nine-chiroflex-queen/</a></li>
  <li><a href=""https://cloudnine.co.za/ultra-premium/chiroflex/"" target=""_blank"" rel=""noopener noreferrer"">https://cloudnine.co.za/ultra-premium/chiroflex/</a></li>
</ul>
",Cloud Nine,Furniture > Beds & Accessories > Mattresses,Beds & Mattresses,"Cloud Nine, Ultra Premium",TRUE,Size,Single (91cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-chiroflex-bed-set-1,50000,,100,continue,manual,11519,,TRUE,TRUE,,https://wondrous-baklava-e13b07.netlify.app/assets/products/cloud_nine_Cloud_Nine_Grande_Bed_Set.png,1,Chiroflex Bed Set,FALSE,Chiroflex Bed Set,Chiroflex Bed Set by Cloud Nine. Official Ultra Premium collection.,active
cloud-nine-chiroflex-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Ultra Premium",TRUE,Size,Three Quarter (107cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-chiroflex-bed-set-2,50000,,100,continue,manual,13269,,TRUE,TRUE,,,,,FALSE,Chiroflex Bed Set,Chiroflex Bed Set by Cloud Nine. Official Ultra Premium collection.,active
cloud-nine-chiroflex-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Ultra Premium",TRUE,Size,Double (137cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-chiroflex-bed-set-3,50000,,100,continue,manual,16379,,TRUE,TRUE,,,,,FALSE,Chiroflex Bed Set,Chiroflex Bed Set by Cloud Nine. Official Ultra Premium collection.,active
cloud-nine-chiroflex-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Ultra Premium",TRUE,Size,Queen (152cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-chiroflex-bed-set-4,50000,,100,continue,manual,17989,,TRUE,TRUE,,,,,FALSE,Chiroflex Bed Set,Chiroflex Bed Set by Cloud Nine. Official Ultra Premium collection.,active
cloud-nine-chiroflex-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Ultra Premium",TRUE,Size,King (183cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-chiroflex-bed-set-5,50000,,100,continue,manual,22329,,TRUE,TRUE,,,,,FALSE,Chiroflex Bed Set,Chiroflex Bed Set by Cloud Nine. Official Ultra Premium collection.,active
cloud-nine-chiroflex-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Ultra Premium",TRUE,Size,Single (91cm),Length,Extra Length (200cm),Configuration,Bed Set,cloud-nine-chiroflex-bed-set-6,50000,,100,continue,manual,12439,,TRUE,TRUE,,,,,FALSE,Chiroflex Bed Set,Chiroflex Bed Set by Cloud Nine. Official Ultra Premium collection.,active
cloud-nine-chiroflex-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Ultra Premium",TRUE,Size,Three Quarter (107cm),Length,Extra Length (200cm),Configuration,Bed Set,cloud-nine-chiroflex-bed-set-7,50000,,100,continue,manual,14329,,TRUE,TRUE,,,,,FALSE,Chiroflex Bed Set,Chiroflex Bed Set by Cloud Nine. Official Ultra Premium collection.,active
cloud-nine-chiroflex-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Ultra Premium",TRUE,Size,Double (137cm),Length,Extra Length (200cm),Configuration,Bed Set,cloud-nine-chiroflex-bed-set-8,50000,,100,continue,manual,17689,,TRUE,TRUE,,,,,FALSE,Chiroflex Bed Set,Chiroflex Bed Set by Cloud Nine. Official Ultra Premium collection.,active
